Date,SP500
19-Dec,"3,230.78"
19-Nov,"3,140.98"
19-Oct,"3,037.56"
19-Sep,"2,976.74"
19-Aug,"2,926.46"
19-Jul,"2,980.38"
19-Jun,"2,941.76"
19-May,"2,752.06"
19-Apr,"2,945.83"
19-Mar,"2,834.40"
19-Feb,"2,784.49"
19-Jan,"2,704.10"
18-Dec,"2,506.85"
18-Nov,"2,760.17"
18-Oct,"2,711.74"
18-Sep,"2,913.98"
18-Aug,"2,901.52"
18-Jul,"2,816.29"
18-Jun,"2,718.37"
18-May,"2,705.27"
18-Apr,"2,648.05"
18-Mar,"2,640.87"
18-Feb,"2,713.83"
18-Jan,"2,823.81"
17-Dec,"2,673.61"
17-Nov,"2,647.58"
17-Oct,"2,575.26"
17-Sep,"2,519.36"
17-Aug,"2,471.65"
17-Jul,"2,470.30"
17-Jun,"2,423.41"
17-May,"2,411.80"
17-Apr,"2,384.20"
17-Mar,"2,362.72"
17-Feb,"2,363.64"
17-Jan,"2,278.87"
16-Dec,"2,238.83"
16-Nov,"2,198.81"
16-Oct,"2,126.15"
16-Sep,"2,168.27"
16-Aug,"2,170.95"
16-Jul,"2,173.60"
16-Jun,"2,098.86"
16-May,"2,096.96"
16-Apr,"2,065.30"
16-Mar,"2,059.74"
16-Feb,"1,932.23"
16-Jan,"1,940.24"
15-Dec,"2,043.94"
15-Nov,"2,080.41"
15-Oct,"2,079.36"
15-Sep,"1,920.03"
15-Aug,"1,972.18"
15-Jul,"2,103.84"
15-Jun,"2,063.11"
15-May,"2,107.39"
15-Apr,"2,085.51"
15-Mar,"2,067.89"
15-Feb,"2,104.50"
15-Jan,"1,994.99"
14-Dec,"2,058.90"
14-Nov,"2,067.56"
14-Oct,"2,018.05"
14-Sep,"1,972.29"
14-Aug,"2,003.37"
14-Jul,"1,930.67"
14-Jun,"1,960.23"
14-May,"1,923.57"
14-Apr,"1,883.95"
14-Mar,"1,872.34"
14-Feb,"1,859.45"
14-Jan,"1,782.59"
13-Dec,"1,848.36"
13-Nov,"1,805.81"
13-Oct,"1,756.54"
13-Sep,"1,681.55"
13-Aug,"1,632.97"
13-Jul,"1,685.73"
13-Jun,"1,606.28"
13-May,"1,630.74"
13-Apr,"1,597.57"
13-Mar,"1,569.19"
13-Feb,"1,514.68"
13-Jan,"1,498.11"
12-Dec,"1,426.19"
12-Nov,"1,416.18"
12-Oct,"1,412.16"
12-Sep,"1,440.67"
12-Aug,"1,406.58"
12-Jul,"1,379.32"
12-Jun,"1,362.16"
12-May,"1,310.33"
12-Apr,"1,397.91"
12-Mar,"1,408.47"
12-Feb,"1,365.68"
12-Jan,"1,312.41"
11-Dec,"1,257.60"
11-Nov,"1,246.96"
11-Oct,"1,253.30"
11-Sep,"1,131.42"
11-Aug,"1,218.89"
11-Jul,"1,292.28"
11-Jun,"1,320.64"
11-May,"1,345.20"
11-Apr,"1,363.61"
11-Mar,"1,325.83"
11-Feb,"1,327.22"
11-Jan,"1,286.12"
10-Dec,"1,257.64"
10-Nov,"1,180.55"
10-Oct,"1,183.26"
10-Sep,"1,141.20"
10-Aug,"1,049.33"
10-Jul,"1,101.60"
10-Jun,"1,030.71"
10-May,"1,089.41"
10-Apr,"1,186.69"
10-Mar,"1,169.43"
10-Feb,"1,104.49"
10-Jan,"1,073.87"
9-Dec,"1,115.10"
9-Nov,"1,095.63"
9-Oct,"1,036.19"
9-Sep,"1,057.08"
9-Aug,"1,020.62"
9-Jul,987.48
9-Jun,919.32
9-May,919.14
9-Apr,872.81
9-Mar,797.87
9-Feb,735.09
9-Jan,825.88
8-Dec,903.25
8-Nov,896.24
8-Oct,968.75
8-Sep,"1,166.36"
8-Aug,"1,282.83"
8-Jul,"1,267.38"
8-Jun,"1,280.00"
8-May,"1,400.38"
8-Apr,"1,385.59"
8-Mar,"1,322.70"
8-Feb,"1,330.63"
8-Jan,"1,378.55"
7-Dec,"1,468.36"
7-Nov,"1,481.14"
7-Oct,"1,549.38"
7-Sep,"1,526.75"
7-Aug,"1,473.99"
7-Jul,"1,455.27"
7-Jun,"1,503.35"
7-May,"1,530.62"
7-Apr,"1,482.37"
7-Mar,"1,420.86"
7-Feb,"1,406.82"
7-Jan,"1,438.24"
6-Dec,"1,418.30"
6-Nov,"1,400.63"
6-Oct,"1,377.94"
6-Sep,"1,335.85"
6-Aug,"1,303.82"
6-Jul,"1,276.66"
6-Jun,"1,270.20"
6-May,"1,270.09"
6-Apr,"1,310.61"
6-Mar,"1,294.83"
6-Feb,"1,280.66"
6-Jan,"1,280.08"
5-Dec,"1,248.29"
5-Nov,"1,249.48"
5-Oct,"1,207.01"
5-Sep,"1,228.81"
5-Aug,"1,220.33"
5-Jul,"1,234.18"
5-Jun,"1,191.33"
5-May,"1,191.50"
5-Apr,"1,156.85"
5-Mar,"1,180.59"
5-Feb,"1,203.60"
5-Jan,"1,181.27"
4-Dec,"1,211.92"
4-Nov,"1,173.82"
4-Oct,"1,130.20"
4-Sep,"1,114.58"
4-Aug,"1,104.24"
4-Jul,"1,101.72"
4-Jun,"1,140.84"
4-May,"1,120.68"
4-Apr,"1,107.30"
4-Mar,"1,126.21"
4-Feb,"1,144.94"
4-Jan,"1,131.13"
3-Dec,"1,111.92"
3-Nov,"1,058.20"
3-Oct,"1,050.71"
3-Sep,995.97
3-Aug,"1,008.01"
3-Jul,993.32
3-Jun,974.5
3-May,963.59
3-Apr,916.92
3-Mar,848.18
3-Feb,841.15
3-Jan,855.7
2-Dec,879.82
2-Nov,936.31
2-Oct,885.76
2-Sep,815.28
2-Aug,916.07
2-Jul,911.62
2-Jun,989.82
2-May,"1,067.14"
2-Apr,"1,076.92"
2-Mar,"1,147.39"
2-Feb,"1,106.73"
2-Jan,"1,130.20"
1-Dec,"1,148.08"
1-Nov,"1,139.45"
1-Oct,"1,059.78"
1-Sep,"1,040.94"
1-Aug,"1,133.58"
1-Jul,"1,211.23"
1-Jun,"1,224.38"
1-May,"1,255.82"
1-Apr,"1,249.46"
1-Mar,"1,160.33"
1-Feb,"1,239.94"
1-Jan,"1,366.01"
Dec-00,"1,320.28"
Nov-00,"1,314.95"
Oct-00,"1,429.40"
Sep-00,"1,436.51"
Aug-00,"1,517.68"
Jul-00,"1,430.83"
Jun-00,"1,454.60"
May-00,"1,420.60"
Apr-00,"1,452.43"
Mar-00,"1,498.58"
Feb-00,"1,366.42"
Jan-00,"1,394.46"
Dec-99,"1,469.25"
Nov-99,"1,388.91"
Oct-99,"1,362.93"
Sep-99,"1,282.71"
Aug-99,"1,320.41"
Jul-99,"1,328.72"
Jun-99,"1,372.71"
May-99,"1,301.84"
Apr-99,"1,335.18"
Mar-99,"1,286.37"
Feb-99,"1,238.33"
Jan-99,"1,279.64"
Dec-98,"1,229.23"
Nov-98,"1,163.63"
Oct-98,"1,098.67"
Sep-98,"1,017.01"
Aug-98,957.28
Jul-98,"1,120.67"
Jun-98,"1,133.84"
May-98,"1,090.82"
Apr-98,"1,111.75"
Mar-98,"1,101.75"
Feb-98,"1,049.34"
Jan-98,980.28
Dec-97,970.43
Nov-97,955.4
Oct-97,914.62
Sep-97,947.28
Aug-97,899.47
Jul-97,954.31
Jun-97,885.14
May-97,848.28
Apr-97,801.34
Mar-97,757.12
Feb-97,790.82
Jan-97,786.16
Dec-96,740.74
Nov-96,757.02
Oct-96,705.27
Sep-96,687.33
Aug-96,651.99
Jul-96,639.95
Jun-96,670.63
May-96,669.12
Apr-96,654.17
Mar-96,645.5
Feb-96,640.43
Jan-96,636.02
Dec-95,615.93
Nov-95,605.37
Oct-95,581.5
Sep-95,584.41
Aug-95,561.88
Jul-95,562.06
Jun-95,544.75
May-95,533.4
Apr-95,514.71
Mar-95,500.71
Feb-95,487.39
Jan-95,470.42
Dec-94,459.27
Nov-94,453.69
Oct-94,472.35
Sep-94,462.71
Aug-94,475.49
Jul-94,458.26
Jun-94,444.27
May-94,456.5
Apr-94,450.91
Mar-94,445.77
Feb-94,467.14
Jan-94,481.61
Dec-93,466.45
Nov-93,461.79
Oct-93,467.83
Sep-93,458.93
Aug-93,463.56
Jul-93,448.13
Jun-93,450.53
May-93,450.19
Apr-93,440.19
Mar-93,451.67
Feb-93,443.38
Jan-93,438.78
Dec-92,435.71
Nov-92,431.35
Oct-92,418.68
Sep-92,417.8
Aug-92,414.03
Jul-92,424.21
Jun-92,408.14
May-92,415.35
Apr-92,414.95
Mar-92,403.69
Feb-92,412.7
Jan-92,408.78
Dec-91,417.09
Nov-91,375.22
Oct-91,392.45
Sep-91,387.86
Aug-91,395.43
Jul-91,387.81
Jun-91,371.16
May-91,389.83
Apr-91,375.34
Mar-91,375.22
Feb-91,367.07
Jan-91,343.93
Dec-90,330.22
Nov-90,322.22
Oct-90,304
Sep-90,306.05
Aug-90,322.56
Jul-90,356.15
Jun-90,358.02
May-90,361.23
Apr-90,330.8
Mar-90,339.94
Feb-90,331.89
Jan-90,329.08
Dec-89,353.4
Nov-89,345.99
Oct-89,340.36
Sep-89,349.15
Aug-89,351.45
Jul-89,346.08
Jun-89,317.98
May-89,320.52
Apr-89,309.64
Mar-89,294.87
Feb-89,288.86
Jan-89,297.47
Dec-88,277.72
Nov-88,273.7
Oct-88,278.97
Sep-88,271.91
Aug-88,261.52
Jul-88,272.02
Jun-88,273.5
May-88,262.16
Apr-88,261.33
Mar-88,258.89
Feb-88,267.82
Jan-88,257.07
Dec-87,247.08
Nov-87,230.3
Oct-87,251.79
Sep-87,321.83
Aug-87,329.8
Jul-87,318.66
Jun-87,304
May-87,290.1
Apr-87,288.36
Mar-87,291.7
Feb-87,284.2
Jan-87,274.08
Dec-86,242.17
Nov-86,249.22
Oct-86,243.98
Sep-86,231.32
Aug-86,252.93
Jul-86,236.12
Jun-86,250.84
May-86,247.35
Apr-86,235.52
Mar-86,238.9
Feb-86,226.92
Jan-86,211.78
Dec-85,211.28
Nov-85,202.17
Oct-85,189.82
Sep-85,182.08
Aug-85,188.63
Jul-85,190.92
Jun-85,191.85
May-85,189.55
Apr-85,179.83
Mar-85,180.66
Feb-85,181.18
Jan-85,179.63
Dec-84,167.24
Nov-84,163.58
Oct-84,166.09
Sep-84,166.1
Aug-84,166.68
Jul-84,150.66
Jun-84,153.18
May-84,150.55
Apr-84,160.05
Mar-84,159.18
Feb-84,157.06
Jan-84,163.41
Dec-83,164.93
Nov-83,166.4
Oct-83,163.55
Sep-83,166.07
Aug-83,164.4
Jul-83,162.56
Jun-83,167.64
May-83,162.39
Apr-83,164.43
Mar-83,152.96
Feb-83,148.06
Jan-83,145.3
Dec-82,140.64
Nov-82,138.53
Oct-82,133.72
Sep-82,120.42
Aug-82,119.51
Jul-82,107.09
Jun-82,109.61
May-82,111.88
Apr-82,116.44
Mar-82,111.96
Feb-82,113.11
Jan-82,120.4
Dec-81,122.55
Nov-81,126.35
Oct-81,121.89
Sep-81,116.18
Aug-81,122.79
Jul-81,130.92
Jun-81,131.21
May-81,132.59
Apr-81,132.81
Mar-81,136
Feb-81,131.27
Jan-81,129.55
Dec-80,135.76
Nov-80,140.52
Oct-80,127.47
Sep-80,125.46
Aug-80,122.38
Jul-80,121.67
Jun-80,114.24
May-80,111.24
Apr-80,106.29
Mar-80,102.09
Feb-80,113.66
Jan-80,114.16
Dec-79,107.94
Nov-79,106.16
Oct-79,101.82
Sep-79,109.32
Aug-79,109.32
Jul-79,103.81
Jun-79,102.91
May-79,99.08
Apr-79,101.76
Mar-79,101.59
Feb-79,96.28
Jan-79,99.93
Dec-78,96.11
Nov-78,94.7
Oct-78,93.15
Sep-78,102.54
Aug-78,103.29
Jul-78,100.68
Jun-78,95.53
May-78,97.24
Apr-78,96.83
Mar-78,89.21
Feb-78,87.04
Jan-78,89.25
Dec-77,95.1
Nov-77,94.83
Oct-77,92.34
Sep-77,96.53
Aug-77,96.77
Jul-77,98.85
Jun-77,100.48
May-77,96.12
Apr-77,98.44
Mar-77,98.42
Feb-77,99.82
Jan-77,102.03
Dec-76,107.46
Nov-76,102.1
Oct-76,102.9
Sep-76,105.24
Aug-76,102.91
Jul-76,103.44
Jun-76,104.28
May-76,100.18
Apr-76,101.64
Mar-76,102.77
Feb-76,99.71
Jan-76,100.86
Dec-75,90.19
Nov-75,91.24
Oct-75,89.04
Sep-75,83.87
Aug-75,86.88
Jul-75,88.75
Jun-75,95.19
May-75,91.15
Apr-75,87.3
Mar-75,83.36
Feb-75,81.59
Jan-75,76.98
Dec-74,68.56
Nov-74,69.97
Oct-74,73.9
Sep-74,63.54
Aug-74,72.15
Jul-74,79.31
Jun-74,86
May-74,87.28
Apr-74,90.31
Mar-74,93.98
Feb-74,96.22
Jan-74,96.57
Dec-73,97.55
Nov-73,95.96
Oct-73,108.29
Sep-73,108.43
Aug-73,104.25
Jul-73,108.22
Jun-73,104.26
May-73,104.95
Apr-73,106.97
Mar-73,111.52
Feb-73,111.68
Jan-73,116.03
Dec-72,118.05
Nov-72,116.67
Oct-72,111.58
Sep-72,110.55
Aug-72,111.09
Jul-72,107.39
Jun-72,107.14
May-72,109.53
Apr-72,107.67
Mar-72,107.2
Feb-72,106.57
Jan-72,103.94
Dec-71,102.09
Nov-71,93.99
Oct-71,94.23
Sep-71,98.34
Aug-71,99.03
Jul-71,95.58
Jun-71,98.7
May-71,99.63
Apr-71,103.95
Mar-71,100.31
Feb-71,96.75
Jan-71,95.88