Date,IP
1/1/70,38.1217
2/1/70,38.0966
3/1/70,38.0472
4/1/70,37.9493
5/1/70,37.9051
6/1/70,37.7825
7/1/70,37.8753
8/1/70,37.8077
9/1/70,37.5471
10/1/70,36.796
11/1/70,36.5732
12/1/70,37.4131
1/1/71,37.7008
2/1/71,37.629
3/1/71,37.5883
4/1/71,37.7993
5/1/71,37.9911
6/1/71,38.1505
7/1/71,38.0397
8/1/71,37.819
9/1/71,38.4336
10/1/71,38.7213
11/1/71,38.8856
12/1/71,39.3345
1/1/72,40.2751
2/1/72,40.6932
3/1/72,40.9766
4/1/72,41.3843
5/1/72,41.39
6/1/72,41.4898
7/1/72,41.4485
8/1/72,42.0158
9/1/72,42.3429
10/1/72,42.8745
11/1/72,43.3834
12/1/72,43.8725
1/1/73,44.1952
2/1/73,44.8299
3/1/73,44.8444
4/1/73,44.7876
5/1/73,45.0922
6/1/73,45.1372
7/1/73,45.3163
8/1/73,45.2482
9/1/73,45.6148
10/1/73,45.9627
11/1/73,46.1781
12/1/73,46.0553
1/1/74,45.7415
2/1/74,45.6029
3/1/74,45.6093
4/1/74,45.4865
5/1/74,45.8299
6/1/74,45.7552
7/1/74,45.828
8/1/74,45.3423
9/1/74,45.3551
10/1/74,45.2077
11/1/74,43.7312
12/1/74,42.1667
1/1/75,41.588
2/1/75,40.6296
3/1/75,40.1811
4/1/75,40.26
5/1/75,40.1391
6/1/75,40.3939
7/1/75,40.791
8/1/75,41.2089
9/1/75,41.7455
10/1/75,41.9223
11/1/75,41.9745
12/1/75,42.5521
1/1/76,43.1271
2/1/76,43.5561
3/1/76,43.6464
4/1/76,43.8709
5/1/76,44.055
6/1/76,44.0988
7/1/76,44.3519
8/1/76,44.6538
9/1/76,44.7817
10/1/76,44.783
11/1/76,45.4764
12/1/76,45.9469
1/1/77,45.6487
2/1/77,46.3805
3/1/77,46.9566
4/1/77,47.4185
5/1/77,47.7834
6/1/77,48.1403
7/1/77,48.1927
8/1/77,48.2499
9/1/77,48.4515
10/1/77,48.5177
11/1/77,48.6111
12/1/77,48.6743
1/1/78,47.9744
2/1/78,48.2322
3/1/78,49.1693
4/1/78,50.1546
5/1/78,50.3971
6/1/78,50.7005
7/1/78,50.6512
8/1/78,50.8676
9/1/78,51.0077
10/1/78,51.3902
11/1/78,51.781
12/1/78,52.0449
1/1/79,51.7484
2/1/79,52.0053
3/1/79,52.1613
4/1/79,51.5654
5/1/79,52.0022
6/1/79,52.008
7/1/79,51.9231
8/1/79,51.5966
9/1/79,51.5842
10/1/79,51.9405
11/1/79,51.8626
12/1/79,51.9025
1/1/80,52.1712
2/1/80,52.1976
3/1/80,51.9834
4/1/80,50.9746
5/1/80,49.7086
6/1/80,49.0754
7/1/80,48.7001
8/1/80,48.8535
9/1/80,49.6791
10/1/80,50.3058
11/1/80,51.1348
12/1/80,51.4875
1/1/81,51.1668
2/1/81,50.9509
3/1/81,51.2066
4/1/81,50.9711
5/1/81,51.2645
6/1/81,51.5247
7/1/81,51.8727
8/1/81,51.8156
9/1/81,51.5692
10/1/81,51.1851
11/1/81,50.5914
12/1/81,50.053
1/1/82,49.0358
2/1/82,50.0309
3/1/82,49.6876
4/1/82,49.2266
5/1/82,48.8924
6/1/82,48.7588
7/1/82,48.5887
8/1/82,48.1582
9/1/82,48.0164
10/1/82,47.571
11/1/82,47.4235
12/1/82,47.0712
1/1/83,47.9518
2/1/83,47.6648
3/1/83,48.054
4/1/83,48.6536
5/1/83,48.9668
6/1/83,49.251
7/1/83,49.9861
8/1/83,50.5862
9/1/83,51.3227
10/1/83,51.714
11/1/83,51.9425
12/1/83,52.1897
1/1/84,53.2371
2/1/84,53.4741
3/1/84,53.7313
4/1/84,54.0454
5/1/84,54.3263
6/1/84,54.5095
7/1/84,54.6658
8/1/84,54.7307
9/1/84,54.5783
10/1/84,54.5549
11/1/84,54.74
12/1/84,54.7733
1/1/85,54.7203
2/1/85,54.91
3/1/85,54.9841
4/1/85,54.8853
5/1/85,54.952
6/1/85,54.9269
7/1/85,54.642
8/1/85,54.8269
9/1/85,55.0447
10/1/85,54.8418
11/1/85,55.0381
12/1/85,55.5958
1/1/86,55.8793
2/1/86,55.4963
3/1/86,55.097
4/1/86,55.16
5/1/86,55.2556
6/1/86,55.0449
7/1/86,55.3725
8/1/86,55.2845
9/1/86,55.4459
10/1/86,55.6766
11/1/86,55.8828
12/1/86,56.4269
1/1/87,56.2123
2/1/87,56.9589
3/1/87,57.0365
4/1/87,57.3995
5/1/87,57.7653
6/1/87,58.0726
7/1/87,58.4772
8/1/87,58.9076
9/1/87,59.1237
10/1/87,59.9408
11/1/87,60.2323
12/1/87,60.5629
1/1/88,60.564
2/1/88,60.8632
3/1/88,61.0006
4/1/88,61.3536
5/1/88,61.2454
6/1/88,61.4107
7/1/88,61.4169
8/1/88,61.7365
9/1/88,61.5395
10/1/88,61.7996
11/1/88,61.9552
12/1/88,62.2362
1/1/89,62.4165
2/1/89,62.1423
3/1/89,62.3049
4/1/89,62.2966
5/1/89,61.9483
6/1/89,61.9423
7/1/89,61.3334
8/1/89,61.9394
9/1/89,61.7394
10/1/89,61.6605
11/1/89,61.8627
12/1/89,62.2192
1/1/90,61.9021
2/1/90,62.464
3/1/90,62.7645
4/1/90,62.6499
5/1/90,62.8126
6/1/90,63.0256
7/1/90,62.9353
8/1/90,63.172
9/1/90,63.1832
10/1/90,62.7886
11/1/90,62.0154
12/1/90,61.5915
1/1/91,61.3624
2/1/91,60.9255
3/1/91,60.5853
4/1/91,60.7604
5/1/91,61.3572
6/1/91,61.8396
7/1/91,62.0065
8/1/91,62.0141
9/1/91,62.5457
10/1/91,62.4572
11/1/91,62.371
12/1/91,62.0999
1/1/92,61.7744
2/1/92,62.2167
3/1/92,62.7223
4/1/92,63.1981
5/1/92,63.4008
6/1/92,63.4358
7/1/92,64.013
8/1/92,63.6652
9/1/92,63.8563
10/1/92,64.3089
11/1/92,64.563
12/1/92,64.6477
1/1/93,64.9199
2/1/93,65.2156
3/1/93,65.1605
4/1/93,65.3503
5/1/93,65.0993
6/1/93,65.2428
7/1/93,65.3988
8/1/93,65.3265
9/1/93,65.6562
10/1/93,66.1632
11/1/93,66.4831
12/1/93,66.8399
1/1/94,67.0596
2/1/94,67.106
3/1/94,67.7792
4/1/94,68.1906
5/1/94,68.5136
6/1/94,68.9608
7/1/94,69.0536
8/1/94,69.5074
9/1/94,69.7304
10/1/94,70.2734
11/1/94,70.7471
12/1/94,71.4653
1/1/95,71.5873
2/1/95,71.4827
3/1/95,71.5962
4/1/95,71.4939
5/1/95,71.8245
6/1/95,72.0577
7/1/95,71.7421
8/1/95,72.6863
9/1/95,72.989
10/1/95,72.8743
11/1/95,73.0432
12/1/95,73.3148
1/1/96,72.9017
2/1/96,73.955
3/1/96,73.8546
4/1/96,74.6152
5/1/96,75.15
6/1/96,75.719
7/1/96,75.7189
8/1/96,76.0875
9/1/96,76.5959
10/1/96,76.5662
11/1/96,77.2493
12/1/96,77.7342
1/1/97,77.8711
2/1/97,78.7993
3/1/97,79.2746
4/1/97,79.3464
5/1/97,79.773
6/1/97,80.1365
7/1/97,80.7798
8/1/97,81.6119
9/1/97,82.4022
10/1/97,83.1064
11/1/97,83.7534
12/1/97,84.1331
1/1/98,84.5113
2/1/98,84.6409
3/1/98,84.6684
4/1/98,84.9827
5/1/98,85.5129
6/1/98,84.998
7/1/98,84.6664
8/1/98,86.4183
9/1/98,86.3287
10/1/98,86.9767
11/1/98,86.9005
12/1/98,87.2514
1/1/99,87.6357
2/1/99,88.1298
3/1/99,88.2987
4/1/99,88.4947
5/1/99,89.0447
6/1/99,88.9802
7/1/99,89.5155
8/1/99,89.8984
9/1/99,89.496
10/1/99,90.6725
11/1/99,91.1438
12/1/99,91.8444
1/1/00,91.7942
2/1/00,92.1272
3/1/00,92.4733
4/1/00,93.0619
5/1/00,93.3427
6/1/00,93.3908
7/1/00,93.204
8/1/00,92.9637
9/1/00,93.3533
10/1/00,93.0019
11/1/00,93.0137
12/1/00,92.7388
1/1/01,92.2054
2/1/01,91.5813
3/1/01,91.3567
4/1/01,91.072
5/1/01,90.5335
6/1/01,90.0322
7/1/01,89.4778
8/1/01,89.3838
9/1/01,88.9262
10/1/01,88.6365
11/1/01,88.1058
12/1/01,88.0897
1/1/02,88.6706
2/1/02,88.6723
3/1/02,89.3624
4/1/02,89.7933
5/1/02,90.1629
6/1/02,90.9078
7/1/02,90.8761
8/1/02,90.785
9/1/02,90.8931
10/1/02,90.6289
11/1/02,91.1366
12/1/02,90.6374
1/1/03,91.3852
2/1/03,91.494
3/1/03,91.221
4/1/03,90.6448
5/1/03,90.6163
6/1/03,90.7372
7/1/03,91.2028
8/1/03,91.0119
9/1/03,91.6355
10/1/03,91.7372
11/1/03,92.3505
12/1/03,92.4019
1/1/04,92.5643
2/1/04,93.1092
3/1/04,92.7403
4/1/04,93.1255
5/1/04,93.797
6/1/04,93.0677
7/1/04,93.7646
8/1/04,93.8516
9/1/04,93.9393
10/1/04,94.8012
11/1/04,95.0379
12/1/04,95.7433
1/1/05,96.1164
2/1/05,96.82
3/1/05,96.6725
4/1/05,96.8638
5/1/05,96.9622
6/1/05,97.353
7/1/05,97.0425
8/1/05,97.3856
9/1/05,95.509
10/1/05,96.6445
11/1/05,97.6736
12/1/05,98.2108
1/1/06,98.3353
2/1/06,98.3412
3/1/06,98.5915
4/1/06,98.9042
5/1/06,98.8999
6/1/06,99.209
7/1/06,99.1473
8/1/06,99.5815
9/1/06,99.4133
10/1/06,99.2931
11/1/06,99.2376
12/1/06,100.2526
1/1/07,99.86
2/1/07,100.8096
3/1/07,101.0257
4/1/07,101.7497
5/1/07,101.8148
6/1/07,101.8424
7/1/07,101.7209
8/1/07,101.9639
9/1/07,102.2023
10/1/07,101.8873
11/1/07,102.4717
12/1/07,102.4621
1/1/08,102.3148
2/1/08,101.9384
3/1/08,101.5904
4/1/08,100.9098
5/1/08,100.3073
6/1/08,100.0853
7/1/08,99.6124
8/1/08,98.0601
9/1/08,93.8451
10/1/08,94.7036
11/1/08,93.4737
12/1/08,90.825
1/1/09,88.583
2/1/09,88.0069
3/1/09,86.6045
4/1/09,85.9406
5/1/09,85.0635
6/1/09,84.7841
7/1/09,85.7471
8/1/09,86.7094
9/1/09,87.4072
10/1/09,87.6595
11/1/09,88.0061
12/1/09,88.2819
1/1/10,89.2744
2/1/10,89.5648
3/1/10,90.2296
4/1/10,90.5689
5/1/10,91.8247
6/1/10,92.007
7/1/10,92.3967
8/1/10,92.7118
9/1/10,92.9252
10/1/10,92.7115
11/1/10,92.7535
12/1/10,93.6492
1/1/11,93.4768
2/1/11,93.0617
3/1/11,94.0244
4/1/11,93.7011
5/1/11,93.849
6/1/11,94.0844
7/1/11,94.5881
8/1/11,95.1605
9/1/11,95.0855
10/1/11,95.6902
11/1/11,95.7307
12/1/11,96.2047
1/1/12,96.7772
2/1/12,97.051
3/1/12,96.5714
4/1/12,97.3139
5/1/12,97.4669
6/1/12,97.4577
7/1/12,97.6786
8/1/12,97.2842
9/1/12,97.2295
10/1/12,97.5344
11/1/12,97.9837
12/1/12,98.2122
1/1/13,98.1664
2/1/13,98.6458
3/1/13,99.0597
4/1/13,98.9927
5/1/13,99.0726
6/1/13,99.2065
7/1/13,98.9204
8/1/13,99.4996
9/1/13,100.0568
10/1/13,99.9168
11/1/13,100.1762
12/1/13,100.3658
1/1/14,100.038
2/1/14,100.7918
3/1/14,101.7782
4/1/14,101.8337
5/1/14,102.2325
6/1/14,102.5722
7/1/14,102.8479
8/1/14,102.6491
9/1/14,102.9858
10/1/14,102.9911
11/1/14,103.6669
12/1/14,103.6139
1/1/15,102.8479
2/1/15,102.2292
3/1/15,101.8945
4/1/15,101.2859
5/1/15,100.8408
6/1/15,100.5063
7/1/15,101.1831
8/1/15,100.9115
9/1/15,100.568
10/1/15,100.1588
11/1/15,99.4099
12/1/15,98.8329
1/1/16,99.4797
2/1/16,98.9583
3/1/16,98.1954
4/1/16,98.4673
5/1/16,98.2889
6/1/16,98.7201
7/1/16,98.8992
8/1/16,98.7249
9/1/16,98.606
10/1/16,98.6703
11/1/16,98.2288
12/1/16,98.8958
1/1/17,98.7446
2/1/17,98.3676
3/1/17,99.1065
4/1/17,100.0363
5/1/17,100.147
6/1/17,100.3042
7/1/17,100.2092
8/1/17,99.7055
9/1/17,99.7485
10/1/17,100.988
11/1/17,101.273
12/1/17,101.3696
1/1/18,101.3561
2/1/18,101.6495
3/1/18,102.298
4/1/18,103.4095
5/1/18,102.5408
6/1/18,103.3045
7/1/18,103.5474
8/1/18,104.1659
9/1/18,104.1315
10/1/18,103.9874
11/1/18,103.9127
12/1/18,103.867
1/1/19,103.3023
2/1/19,102.728
3/1/19,102.8635
4/1/19,102.2543
5/1/19,102.4519
6/1/19,102.384
7/1/19,102.0568
8/1/19,102.6882
9/1/19,102.3143
10/1/19,101.4645
11/1/19,101.9876
12/1/19,101.6179