date,Corporate Bond,Nonmortgage Loans,Commercial Mortgages,Comercial Papers,Other
2021:Q2,6597141,2633943,5518778,104389,3103538
2021:Q1,6579514,2773725,5434554,76343,3030438
2020:Q4,6474856,2766129,5362121,132202,2970981
2020:Q3,6478179,2894334,5282921,103792,2926345
2020:Q2,6419557,3076617,5217824,121416,2847039
2020:Q1,5982446,2941103,5152271,189202,2768289
2019:Q4,5799459,2515198,5076764,194530,2680635
2019:Q3,5800690,2519937,5008161,200412,2646729
2019:Q2,5708898,2519998,4904572,203010,2606398
2019:Q1,5631059,2501538,4848117,218420,2576388
2018:Q4,5542443,2468234,4777146,196467,2528823
2018:Q3,5512600,2369939,4702500,232290,2519405
2018:Q2,5449095,2352060,4639098,233228,2473739
2018:Q1,5447031,2307454,4549931,227846,2165046
2017:Q4,5393116,2286920,4481369,206670,2178276
2017:Q3,5360074,2263208,4378023,208973,2070629
2017:Q2,5291297,2243269,4315437,191769,2043687
2017:Q1,5218078,2224326,4241827,183634,1979198
2016:Q4,5107101,2210220,4185347,180783,1902288
2016:Q3,5123271,2216827,4124236,151010,1919262
2016:Q2,5044109,2180616,4031045,186629,1901926
2016:Q1,4965267,2157579,3969646,185234,1924675
2015:Q4,4834941,2095998,3916250,179017,1902930
2015:Q3,4788315,2047646,3821787,172778,1929879
2015:Q2,4704302,2020324,3765834,154605,1945547
2015:Q1,4543093,1976497,3697177,167312,1944365
2014:Q4,4435281,1940686,3639814,182012,1921649
2014:Q3,4338829,1885738,3584082,182924,1890025
2014:Q2,4289369,1843112,3543921,177492,1843318
2014:Q1,4215852,1791287,3502526,163148,1858215
2013:Q4,4151599,1754459,3471558,144511,1828251
2013:Q3,4107233,1714769,3455910,153315,1807718
2013:Q2,3995796,1689314,3412753,130314,1814980
2013:Q1,3939807,1670965,3390096,135344,1770869
2012:Q4,3895565,1679321,3387084,130329,1745044
2012:Q3,3782101,1636855,3362972,112715,1756529
2012:Q2,3679381,1606384,3364849,121582,1710092
2012:Q1,3619432,1561783,3372592,114324,1705910
2011:Q4,3542516,1530935,3388647,116307,1715773
2011:Q3,3505023,1492623,3396319,109177,1695327
2011:Q2,3462593,1445557,3428992,101762,1688215
2011:Q1,3408064,1429515,3469068,89378,1656581
2010:Q4,3384469,1410011,3526274,82928,1655309
2010:Q3,3338448,1402113,3532086,97592,1765301
2010:Q2,3269671,1411590,3564134,86651,1765753
2010:Q1,3243872,1450669,3608828,70974,1791635
2009:Q4,3197280,1493397,3631630,58410,1811288
2009:Q3,3168202,1573597,3675027,64093,1919535
2009:Q2,3145174,1670573,3711353,63586,1943331
2009:Q1,3078210,1757704,3727056,96783,1963646
2008:Q4,2987198,1823766,3742239,131477,2024879
2008:Q3,2970521,1815311,3737550,130923,2026673
2008:Q2,2954858,1762010,3727859,115214,1983448
2008:Q1,2881776,1719107,3683753,134532,1918920
2007:Q4,2861341,1641096,3629635,123814,1880065
2007:Q3,2835121,1579125,3538370,119826,1800633
2007:Q2,2812954,1494430,3428001,127487,1689918
2007:Q1,2762828,1446890,3332455,117252,1590200
2006:Q4,2736512,1398153,3247931,112517,1505364
2006:Q3,2711162,1376774,3142065,84744,1429250
2006:Q2,2698293,1351642,3045882,90114,1413254
2006:Q1,2672572,1314723,2959428,84380,1358897
2005:Q4,2659730,1261410,2859254,90071,1309931
2005:Q3,2667944,1227199,2747072,93471,1255455
2005:Q2,2671621,1222461,2654629,96668,1217341
2005:Q1,2691406,1169759,2558320,105194,1188506
2004:Q4,2697036,1130640,2496291,97782,1153175
2004:Q3,2704299,1104292,2433042,88258,1132455
2004:Q2,2708226,1085210,2345707,90139,1110568
2004:Q1,2725726,1078019,2276071,85428,1112487